seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
52800.0,136.0,91.0,1.38,0.246,45.2,10.7,6.0,119.0,62.7,12.1,16.3,22.2,22.4,30.7,31.1,sae_analysis/out/env_imgs/seed52752_step136_timestep8_actionInput.png,sae_analysis/out/env_imgs/seed52752_step136_timestep8_actionOutput.png
27200.0,56.0,99.0,1.29,-15.5,29.5,31.6,7.0,91.6,47.6,13.0,12.7,21.6,21.5,50.3,50.1,sae_analysis/out/env_imgs/seed27242_step56_timestep0_actionInput.png,sae_analysis/out/env_imgs/seed27242_step56_timestep0_actionOutput.png
84000.0,104.0,93.0,1.28,5.0,50.0,19.1,7.0,144.0,163.0,22.9,18.5,24.7,24.2,42.9,42.6,sae_analysis/out/env_imgs/seed84003_step104_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed84003_step104_timestep6_actionOutput.png
78500.0,48.0,96.0,1.12,3.33,48.3,32.3,7.0,36.5,109.0,20.9,15.4,16.8,17.0,47.2,47.6,sae_analysis/out/env_imgs/seed78540_step48_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed78540_step48_timestep3_actionOutput.png
30600.0,40.0,98.0,1.11,1.59,46.6,25.4,7.0,111.0,125.0,20.2,19.0,19.4,19.8,43.1,43.6,sae_analysis/out/env_imgs/seed30608_step40_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed30608_step40_timestep1_actionOutput.png
89200.0,112.0,85.0,1.11,-33.8,11.2,19.5,7.0,-32.3,-1.04,37.1,34.9,20.8,20.8,35.0,34.6,sae_analysis/out/env_imgs/seed89203_step112_timestep14_actionInput.png,sae_analysis/out/env_imgs/seed89203_step112_timestep14_actionOutput.png
89200.0,112.0,98.0,1.09,-33.8,11.2,19.5,7.0,61.6,89.5,21.7,20.7,20.3,20.9,36.5,37.1,sae_analysis/out/env_imgs/seed89203_step112_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed89203_step112_timestep1_actionOutput.png
27200.0,56.0,98.0,1.06,-15.5,29.5,31.6,7.0,50.5,91.6,11.3,13.0,21.6,21.6,50.4,50.3,sae_analysis/out/env_imgs/seed27242_step56_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed27242_step56_timestep1_actionOutput.png
83700.0,40.0,28.0,1.05,-189.0,-144.0,31.6,6.0,147.0,155.0,74.0,60.2,53.9,55.1,66.7,65.7,sae_analysis/out/env_imgs/seed83703_step40_timestep71_actionInput.png,sae_analysis/out/env_imgs/seed83703_step40_timestep71_actionOutput.png
33500.0,32.0,98.0,1.04,-85.2,-40.2,32.4,0.0,-218.0,100.0,10.1,11.7,18.4,18.2,44.4,44.5,sae_analysis/out/env_imgs/seed33539_step32_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed33539_step32_timestep1_actionOutput.png
33500.0,32.0,97.0,1.03,-85.2,-40.2,32.4,0.0,-206.0,-218.0,6.08,10.1,18.1,18.4,44.3,44.4,sae_analysis/out/env_imgs/seed33539_step32_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed33539_step32_timestep2_actionOutput.png
33500.0,32.0,95.0,1.02,-85.2,-40.2,32.4,0.0,92.8,-238.0,12.8,9.91,18.8,17.8,43.7,43.8,sae_analysis/out/env_imgs/seed33539_step32_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed33539_step32_timestep4_actionOutput.png
27200.0,56.0,96.0,1.0,-15.5,29.5,31.6,7.0,-19.0,23.8,19.8,14.8,23.0,22.5,52.0,51.6,sae_analysis/out/env_imgs/seed27242_step56_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed27242_step56_timestep3_actionOutput.png
