seed,step_idx,timestep,activation,theta_tc_deg,theta_c_deg,d_tc,ClosestK,Delta_theta_act_in,Delta_theta_act_out,Delta_dist_act_in,Delta_dist_act_out,d_act_curr_in,d_act_curr_out,d_act_target_in,d_act_target_out,img_path_in,img_path_out
29100.0,24.0,96.0,9.08,79.1,124.0,14.3,8.0,-72.3,-56.3,15.4,18.7,9.06,9.84,19.2,19.1,sae_analysis/out/env_imgs/seed29142_step24_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed29142_step24_timestep3_actionOutput.png
29100.0,24.0,94.0,8.95,79.1,124.0,14.3,8.0,-123.0,-65.3,14.4,16.1,9.7,9.19,19.8,18.4,sae_analysis/out/env_imgs/seed29142_step24_timestep5_actionInput.png,sae_analysis/out/env_imgs/seed29142_step24_timestep5_actionOutput.png
29100.0,24.0,91.0,8.9,79.1,124.0,14.3,8.0,-120.0,-102.0,3.25,9.48,12.2,11.2,21.2,21.1,sae_analysis/out/env_imgs/seed29142_step24_timestep8_actionInput.png,sae_analysis/out/env_imgs/seed29142_step24_timestep8_actionOutput.png
55500.0,32.0,96.0,8.9,71.8,117.0,12.6,8.0,-28.4,-6.75,12.7,11.9,7.62,7.58,15.0,15.4,sae_analysis/out/env_imgs/seed55531_step32_timestep3_actionInput.png,sae_analysis/out/env_imgs/seed55531_step32_timestep3_actionOutput.png
29100.0,24.0,93.0,8.86,79.1,124.0,14.3,8.0,-106.0,-123.0,11.5,14.4,9.79,9.7,18.7,19.8,sae_analysis/out/env_imgs/seed29142_step24_timestep6_actionInput.png,sae_analysis/out/env_imgs/seed29142_step24_timestep6_actionOutput.png
29100.0,24.0,95.0,8.84,79.1,124.0,14.3,8.0,-65.3,-72.3,16.1,15.4,9.19,9.06,18.4,19.2,sae_analysis/out/env_imgs/seed29142_step24_timestep4_actionInput.png,sae_analysis/out/env_imgs/seed29142_step24_timestep4_actionOutput.png
29100.0,24.0,92.0,8.79,79.1,124.0,14.3,8.0,-102.0,-106.0,9.48,11.5,11.2,9.79,21.1,18.7,sae_analysis/out/env_imgs/seed29142_step24_timestep7_actionInput.png,sae_analysis/out/env_imgs/seed29142_step24_timestep7_actionOutput.png
29100.0,24.0,97.0,8.77,79.1,124.0,14.3,8.0,-56.3,24.6,18.7,17.8,9.84,9.27,19.1,18.3,sae_analysis/out/env_imgs/seed29142_step24_timestep2_actionInput.png,sae_analysis/out/env_imgs/seed29142_step24_timestep2_actionOutput.png
29100.0,24.0,98.0,8.76,79.1,124.0,14.3,8.0,24.6,67.8,17.8,16.2,9.27,8.65,18.3,17.8,sae_analysis/out/env_imgs/seed29142_step24_timestep1_actionInput.png,sae_analysis/out/env_imgs/seed29142_step24_timestep1_actionOutput.png
29100.0,24.0,88.0,8.73,79.1,124.0,14.3,8.0,-104.0,-62.0,13.1,16.3,12.5,13.4,21.8,21.4,sae_analysis/out/env_imgs/seed29142_step24_timestep11_actionInput.png,sae_analysis/out/env_imgs/seed29142_step24_timestep11_actionOutput.png
